,Experiment Name,Feature_List,Model,Epochs,Hyperparameters,Training Accuracy,Testing Accuracy,Training PR-AUC,Testing PR-AUC,Training Precision,Testing Precision,Training Recall,Testing Recall
0,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[411],solver=lbfgs max_iter=600,0.8692098092643051,0.8532608695652174,0.9111987073889954,0.9167563998374644,[0.54632153 0.87104623 1.        ],[0.58152174 0.9        1.        ],[1.         0.89276808 0.        ],[1.        0.8411215 0.       ]
1,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[31],solver=newton-cg max_iter=600,0.8719346049046321,0.8532608695652174,0.9126423118892242,0.9167563998374644,[0.54632153 0.8716707  1.        ],[0.58152174 0.9        1.        ],[1.         0.89775561 0.        ],[1.        0.8411215 0.       ]
2,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[12],solver=liblinear max_iter=600,0.8692098092643051,0.8532608695652174,0.9111987073889954,0.9167563998374644,[0.54632153 0.87104623 1.        ],[0.58152174 0.9        1.        ],[1.         0.89276808 0.        ],[1.        0.8411215 0.       ]
3,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[3585],solver=sag max_iter=600,0.8678474114441417,0.842391304347826,0.9098161561437532,0.9118249798903715,[0.54632153 0.86714976 1.        ],[0.58152174 0.89795918 1.        ],[1.         0.89526185 0.        ],[1.         0.82242991 0.        ]
4,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[4600],solver=sag max_iter=600,0.8678474114441417,0.8369565217391305,0.91014161245124,0.9093434904091455,[0.54632153 0.86893204 1.        ],[0.58152174 0.89690722 1.        ],[1.         0.89276808 0.        ],[1.         0.81308411 0.        ]
5,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[31],"solver=newton-cg, penalty=l2 max_iter=600",0.8719346049046321,0.8532608695652174,0.9126423118892242,0.9167563998374644,[0.54632153 0.8716707  1.        ],[0.58152174 0.9        1.        ],[1.         0.89775561 0.        ],[1.        0.8411215 0.       ]
6,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[30],"solver=newton-cg, penalty=none max_iter=600",0.8719346049046321,0.8532608695652174,0.9126423118892242,0.9167563998374644,[0.54632153 0.8716707  1.        ],[0.58152174 0.9        1.        ],[1.         0.89775561 0.        ],[1.        0.8411215 0.       ]
7,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[411],"solver=lbfgs, penalty=l2, max_iter=600",0.8692098092643051,0.8532608695652174,0.9111987073889954,0.9167563998374644,[0.54632153 0.87104623 1.        ],[0.58152174 0.9        1.        ],[1.         0.89276808 0.        ],[1.        0.8411215 0.       ]
8,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[341],"solver=lbfgs, penalty=none, max_iter=600",0.8692098092643051,0.8532608695652174,0.9111987073889954,0.9167563998374644,[0.54632153 0.87104623 1.        ],[0.58152174 0.9        1.        ],[1.         0.89276808 0.        ],[1.        0.8411215 0.       ]
9,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,LogisticRegression,[411],"solver=lbfgs, penalty=l2, tol=1e-10, max_iter=600",0.8692098092643051,0.8532608695652174,0.9111987073889954,0.9167563998374644,[0.54632153 0.87104623 1.        ],[0.58152174 0.9        1.        ],[1.         0.89276808 0.        ],[1.        0.8411215 0.       ]
10,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,criterion=gini,1.0,0.782608695652174,1.0,0.8773088678000464,[1. 1.],[0.58152174 0.86021505 1.        ],[1. 0.],[1.         0.74766355 0.        ]
11,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,criterion=entropy,1.0,0.8097826086956522,1.0,0.9045481606078073,[1. 1.],[0.58152174 0.91860465 1.        ],[1. 0.],[1.         0.73831776 0.        ]
12,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=best",1.0,0.7989130434782609,1.0,0.8853595252607342,[1. 1.],[0.58152174 0.86458333 1.        ],[1. 0.],[1.         0.77570093 0.        ]
13,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random",1.0,0.7934782608695652,1.0,0.8846407177779817,[1. 1.],[0.58152174 0.87096774 1.        ],[1. 0.],[1.         0.75700935 0.        ]
14,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=auto",1.0,0.7771739130434783,1.0,0.8727332558119429,[1. 1.],[0.58152174 0.85106383 1.        ],[1. 0.],[1.         0.74766355 0.        ]
15,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=sqrt",1.0,0.8152173913043478,1.0,0.8971286276438761,[1. 1.],[0.58152174 0.88421053 1.        ],[1. 0.],[1.         0.78504673 0.        ]
16,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=log2",1.0,0.8260869565217391,1.0,0.9066362677117878,[1. 1.],[0.58152174 0.90322581 1.        ],[1. 0.],[1.         0.78504673 0.        ]
17,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex_M;Sex_F;ChestPainType_NAP;ChestPainType_ASY;ChestPainType_TA;ChestPainType_ATA;RestingECG_Normal;RestingECG_LVH;RestingECG_ST;ExerciseAngina_N;ExerciseAngina_Y;ST_Slope_Down;ST_Slope_Up;ST_Slope_Flat,DecisionTreeClassifier,N/A,"criterion=gini, splitter=random, max_features=sqrt, max_depth=300",1.0,0.782608695652174,1.0,0.8737927650732876,[1. 1.],[0.58152174 0.84536082 1.        ],[1. 0.],[1.         0.76635514 0.        ]
